account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct
KENREBELM,4540.25,0.0,0.0,0.0,7,0.0,0.0
WEIMEG,4539.25,0.0,0.0,0.0,2,0.0,0.0
FORALAWHE,4535.4,0.0,0.0,0.0,7,0.0,0.0
CARRYA,4533.48,0.0,0.0,0.0,3,0.0,0.0
WUZIJ,4532.85,0.0,0.0,0.0,4,0.0,0.0
LEEABB,4523.98,0.0,4523.98,0.0,6,-100.0,0.0
FAKMAR,4522.96,0.0,3415.9700000000003,0.0,3,-100.0,0.0
SANDAV,4521.5,0.0,0.0,0.0,6,0.0,0.0
NGUSTE,4521.0,0.0,0.0,0.0,4,0.0,0.0
TRELIA,4520.4,0.0,0.0,0.0,5,0.0,0.0
UNTMIC,4511.67,0.0,0.0,0.0,7,0.0,0.0
MELKEI,4503.5,0.0,0.0,0.0,3,0.0,0.0
AVIVIC,4502.5,0.0,0.0,0.0,4,0.0,0.0
REABRO,4501.23,0.0,0.0,0.0,3,0.0,0.0
PPSHIROG,4494.0,0.0,0.0,0.0,1,0.0,0.0
CHECIN,4477.61,0.0,0.0,0.0,5,0.0,0.0
DOCJOS,4442.9400000000005,0.0,206.98000000000002,0.0,3,-100.0,0.0
SYLCOL,4437.9,0.0,0.0,0.0,5,0.0,0.0
KIBCAR,4430.0,0.0,0.0,0.0,4,0.0,0.0
CATMAT,4423.41,0.0,0.0,0.0,3,0.0,0.0
THASAM,4422.34,0.0,0.0,0.0,5,0.0,0.0
PELMAR,4418.96,0.0,0.0,0.0,3,0.0,0.0
NELERI,4418.0,0.0,0.0,0.0,6,0.0,0.0
CZAAUS,4412.57,4412.57,0.0,0.0,2,0.0,0.0
RUIEDW,4406.97,0.0,0.0,0.0,3,0.0,0.0
SENWILL,4404.9400000000005,1065.97,3338.97,0.0,3,-68.1,0.0
KIMGIN,4402.96,1332.97,384.99,0.0,6,246.2,0.0
BACPETSB,4394.5,0.0,0.0,0.0,4,0.0,0.0
PAVVIC,4382.5,0.0,0.0,0.0,5,0.0,0.0
RANMIN,4381.45,0.0,0.0,0.0,4,0.0,0.0
LOMANTJO,4379.66,1173.0,0.0,0.0,4,0.0,0.0
DEMMAT,4370.97,3263.98,1106.99,0.0,3,194.9,0.0
WELKEV,4366.55,0.0,0.0,0.0,4,0.0,0.0
KLOCHE,4364.97,0.0,0.0,0.0,2,0.0,0.0
GANANU,4362.49,0.0,2163.5,0.0,6,-100.0,0.0
DIEDAW,4354.0,0.0,0.0,0.0,4,0.0,0.0
ISMMOH,4347.77,0.0,4347.77,0.0,7,-100.0,0.0
PAUMIC,4347.62,0.0,0.0,0.0,6,0.0,0.0
SHAPRI,4345.0,0.0,0.0,0.0,2,0.0,0.0
LOWKER,4340.97,0.0,0.0,0.0,4,0.0,0.0
MIGGEO,4339.48,0.0,0.0,0.0,2,0.0,0.0
LEEEUN,4325.98,0.0,0.0,0.0,3,0.0,0.0
THASAMWE,4322.83,496.96000000000004,0.0,0.0,4,0.0,0.0
KURSUN,4321.62,0.0,0.0,0.0,6,0.0,0.0
GORDON,4321.25,0.0,0.0,0.0,7,0.0,0.0
MAYCHR,4320.16,0.0,0.0,0.0,7,0.0,0.0
EHRJOS,4309.46,0.0,4309.46,0.0,6,-100.0,0.0
GOEKAT,4304.5,0.0,0.0,0.0,5,0.0,0.0
GARMAR,4301.4400000000005,0.0,0.0,0.0,6,0.0,0.0
RIVGEOOB,4294.95,0.0,1515.97,0.0,3,-100.0,0.0
SADAFF,4292.5,0.0,0.0,0.0,4,0.0,0.0
PENDOU,4285.97,0.0,0.0,0.0,3,0.0,0.0
RAGSAM,4283.0,0.0,0.0,0.0,4,0.0,0.0
WEGTHO,4276.98,0.0,0.0,0.0,4,0.0,0.0
FARDRE,4268.0,0.0,0.0,0.0,3,0.0,0.0
SNOCHR,4267.46,0.0,249.48000000000002,0.0,4,-100.0,0.0
SHASTE,4264.28,0.0,0.0,0.0,5,0.0,0.0
ZACMAR,4257.25,0.0,0.0,0.0,7,0.0,0.0
DRATHOM,4255.48,0.0,0.0,0.0,5,0.0,0.0
SEYHAR,4251.96,0.0,3725.0,0.0,5,-100.0,0.0
LEGGAB,4243.99,0.0,0.0,0.0,7,0.0,0.0
FURJAM,4230.5,0.0,0.0,0.0,3,0.0,0.0
NARMEE,4229.0,0.0,0.0,0.0,8,0.0,0.0
PPPETDAV,4218.98,0.0,0.0,0.0,2,0.0,0.0
SHUBRI,4212.54,0.0,0.0,0.0,5,0.0,0.0
SCHDAV,4211.97,0.0,0.0,0.0,2,0.0,0.0
BLALIS,4208.98,0.0,0.0,0.0,2,0.0,0.0
CODEDW,4204.96,0.0,0.0,0.0,3,0.0,0.0
PAYMARCH,4195.76,0.0,0.0,0.0,5,0.0,0.0
HANRAI,4193.3099999999995,1449.94,2743.37,390.0,6,-47.1,26.9
QUEALE,4176.139999999999,0.0,0.0,0.0,7,0.0,0.0
ANELYVH,4175.97,0.0,2503.98,0.0,2,-100.0,0.0
YOUERI,4166.67,0.0,0.0,0.0,5,0.0,0.0
SIMCHA,4166.46,0.0,0.0,0.0,3,0.0,0.0
SHALEI,4154.32,0.0,0.0,0.0,5,0.0,0.0
PATMOH,4150.43,0.0,0.0,0.0,6,0.0,0.0
BIAVIN,4150.38,0.0,0.0,0.0,3,0.0,0.0
SUDAMIBER,4140.5,0.0,0.0,0.0,5,0.0,0.0
BRAMICBO,4129.3099999999995,0.0,0.0,0.0,7,0.0,0.0
GRAKRYCH,4125.54,0.0,2995.57,713.0,7,-100.0,0.0
PALARONEWL,4121.0,0.0,0.0,0.0,7,0.0,0.0
KASAND,4119.0,0.0,0.0,0.0,3,0.0,0.0
SINPRE,4107.62,0.0,0.0,0.0,4,0.0,0.0
PERMICFF,4106.97,0.0,0.0,0.0,2,0.0,0.0
HAYDAN,4106.48,0.0,0.0,0.0,2,0.0,0.0
KYIMIC,4102.18,0.0,0.0,0.0,7,0.0,0.0
KOUAND,4099.5,0.0,0.0,0.0,3,0.0,0.0
WISBRA,4098.48,0.0,0.0,0.0,3,0.0,0.0
MANDEB,4092.55,0.0,0.0,0.0,4,0.0,0.0
DELTHO,4088.64,0.0,0.0,0.0,5,0.0,0.0
OBRJOH,4086.0,0.0,0.0,0.0,4,0.0,0.0
FREKRI,4080.5,0.0,0.0,0.0,4,0.0,0.0
ENGDENEL,4078.0,0.0,0.0,0.0,3,0.0,0.0
GRUPET,4064.0,0.0,0.0,0.0,3,0.0,0.0
PPHOMBRI,4061.99,0.0,0.0,0.0,3,0.0,0.0
PAUTAT,4057.0,0.0,0.0,0.0,5,0.0,0.0
MCGBRE,4055.9700000000003,0.0,0.0,0.0,3,0.0,0.0
BOGTHE,4038.97,0.0,1245.99,0.0,2,-100.0,0.0
SALMUN,4028.5,0.0,0.0,0.0,3,0.0,0.0
GIUVIT,4028.0,0.0,0.0,0.0,6,0.0,0.0
COURYA,4024.75,0.0,0.0,0.0,3,0.0,0.0
