account_id,ltd_sales,ytd_sales,ly_sales,mtd_sales,lm_sales,q1_sales,q2_sales,q3_sales,q4_sales,ytd_remake,ly_remake,mtd_remake,lm_remake,q1_remake,q2_remake,q3_remake,q4_remake,product_id,product_type,department,product_group,is_implant
SHAAMI,284.62,284.62,206.98000000000002,0.0,284.62,0.0,0.0,284.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SHAATI,5054.5,5054.5,4640.09,0.0,2375.83,1446.13,1232.54,2375.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SHADHALA,875.0,875.0,26220.13,0.0,0.0,169.0,706.0,0.0,0.0,0.0,2088.0,0.0,0.0,0.0,0.0,0.0,0.0,DENPRCOV,PROC OVERDENTURE,,,False
SHASYE,367.59000000000003,367.59000000000003,140.0,0.0,0.0,262.84000000000003,104.75,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,DTARTICP1,HERAEUS ARTIC POSTERIOR 1 TOOTH,,,False
SHEATM,2341.94,2341.94,17020.91,0.0,0.0,838.13,1503.81,0.0,0.0,0.0,1250.99,0.0,0.0,0.0,0.0,0.0,0.0,PARTIALDUR,FLEXI PARTIAL W/ PINK CLASPS,,,False
SHECAR,2190.94,2190.94,0.0,0.0,0.0,986.46,1204.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PARTIALUNI,UNILATERAL FLEXI PARTIAL,,,False
SHERAY,159.99,159.99,990.9100000000001,0.0,0.0,159.99,0.0,0.0,0.0,0.0,159.99,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SHESAB,5015.17,5015.17,8820.28,103.47999999999999,206.95999999999998,3817.77,886.96,310.44,0.0,142.97,1517.5,0.0,0.0,142.97,0.0,0.0,0.0,CRAHSC,COMFORT H/S BITE SPLINT,,,False
SHESABRV,2388.31,2388.31,2950.91,0.0,0.0,1097.62,1290.69,0.0,0.0,46.78,273.99,0.0,0.0,46.78,0.0,0.0,0.0,DIGEZZCRN,DIGITAL ARTISTIC EZ,,,False
SIETOM,12223.68,12223.68,30474.18,0.0,1765.54,6236.57,4221.57,1765.54,0.0,0.0,173.5,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
