account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
PANANE,141486.4,2518.93,16195.34,0.0,8,6748.06,-62.7,0.0,24427086.230000004,0.5756687006013053
ANDBRE,141174.28,449.0,7450.96,0.0,9,3104.57,-85.5,0.0,24568260.510000005,0.5789957291941021
GLOANT,140214.75,4746.24,11223.09,119.99,8,4676.29,1.5,2.53,24708475.260000005,0.5823001447178212
BOYMIC,139820.66999999998,11658.66,36899.67,0.0,7,15374.86,-24.2,0.0,24848295.930000007,0.5855952730298198
GORMIC,139568.88,0.0,484.0,0.0,7,201.67,-100.0,0.0,24987864.810000006,0.5888844674526611
MILJAM,134814.36,0.0,2861.99,0.0,8,1192.5,-100.0,0.0,25122679.170000006,0.5920616129669829
ONIJEF,134366.35,0.0,3615.69,0.0,7,1506.54,-100.0,0.0,25257045.520000007,0.5952282003110781
STUKRI,131924.15,0.0,4581.82,0.0,8,1909.09,-100.0,0.0,25388969.670000006,0.598337232771739
LEBRAFB,131366.72,9077.79,37760.729999999996,133.5,9,15733.64,-42.3,1.47,25520336.390000004,0.6014331283809246
VERVIN,128688.17,3528.6499999999996,7668.1,149.99,8,3195.04,10.4,4.25,25649024.560000006,0.6044658990891917
MACHAZ,127612.18000000001,9558.42,22752.97,591.0,6,9480.4,0.8,6.18,25776636.740000006,0.6074733121367323
ZOLMAR,126097.89,7580.95,4302.64,0.0,6,1792.77,322.9,0.0,25902734.630000006,0.6104450381871245
KORMIK,123291.18000000001,25143.23,49501.06,1413.98,9,20625.44,21.9,5.62,26026025.810000006,0.6133506190131762
CERGAI,122509.31,846.6500000000001,9386.56,0.0,8,3911.07,-78.4,0.0,26148535.120000005,0.6162377736510735
DOUBRI,120722.43,19023.9,50453.61,158.0,6,21022.34,-9.5,0.83,26269257.550000004,0.6190828172128464
HANMIR,120403.67,12271.97,35838.2,0.0,7,14932.58,-17.8,0.0,26389661.220000006,0.6219203486156464
COFJER,120107.9,0.0,15155.75,0.0,8,6314.9,-100.0,0.0,26509769.120000005,0.6247509096606242
FIJPHI,119791.70999999999,10598.86,3861.94,0.0,7,1609.14,558.7,0.0,26629560.830000006,0.6275740191133519
SHECAR,118991.58,1687.65,0.0,0.0,8,0.0,0.0,0.0,26748552.410000004,0.6303782720478246
KMADANMUN,118354.87,0.0,933.98,0.0,8,389.16,-100.0,0.0,26866907.280000005,0.6331675197534744
MORPAU,117874.87,3966.19,17039.07,163.98,9,7099.61,-44.1,4.13,26984782.150000006,0.635945455386383
LENMIC,117507.97,1947.72,9823.5,0.0,8,4093.12,-52.4,0.0,27102290.120000005,0.63871474435369
NUCMAG,115379.07,12444.07,22565.37,260.0,7,9402.24,32.4,2.09,27217669.190000005,0.6414338619217081
BAICHA,115240.3,4158.0,12405.0,0.0,7,5168.75,-19.6,0.0,27332909.490000006,0.6441497091223632
SINPAU,112576.62,9678.78,25708.66,167.0,9,10711.94,-9.6,1.73,27445486.110000007,0.6468027818606866
MYRCATH,111829.96,0.0,3627.08,0.0,6,1511.28,-100.0,0.0,27557316.070000008,0.6494382581985247
PERLUI,111479.16,26147.53,53560.64,3137.42,9,22316.93,17.2,12.0,27668795.230000008,0.6520654672965345
LEURIN,110545.8,6686.849999999999,10609.45,378.0,9,4420.6,51.3,5.65,27779341.03000001,0.6546706800690991
PETCHR,109638.43,6643.44,23374.2,195.0,8,9739.25,-31.8,2.94,27888979.46000001,0.6572545090178237
COLBER,108350.91,747.5,17360.39,747.5,8,7233.5,-89.7,100.0,27997330.37000001,0.6598079952167656
STOMARC,106393.6,9887.359999999999,25887.269999999997,344.99,8,10786.36,-8.3,3.49,28103723.97000001,0.6623153538467554
