account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct
STOTER,150031.39,0.0,0.0,0.0,8,0.0,0.0,0.0
BRZDANI,149481.0,1732.36,4907.14,0.0,8,2044.64,-15.3,0.0
BARKYR,149174.85,0.0,0.0,0.0,8,0.0,0.0,0.0
WOOLOR,149076.17,0.0,5111.96,0.0,8,2129.98,-100.0,0.0
FRAJOH,148167.53,0.0,0.0,0.0,9,0.0,0.0,0.0
ZUBTHO,147269.39,0.0,0.0,0.0,8,0.0,0.0,0.0
PONANT,146651.13,1375.98,9044.9,0.0,8,3768.71,-63.5,0.0
KROJAM,145551.85,0.0,0.0,0.0,7,0.0,0.0,0.0
WEIMAR,145120.82,0.0,0.0,0.0,7,0.0,0.0,0.0
SINMAN,144516.35,11789.07,21569.120000000003,195.98,7,8987.13,31.2,1.66
KOZJOH,144317.55,0.0,0.0,0.0,8,0.0,0.0,0.0
KENTHO,144283.9,0.0,166.98000000000002,0.0,7,69.58,-100.0,0.0
BALSAM,143800.53,0.0,0.0,0.0,8,0.0,0.0,0.0
SKRLEO,143428.89,4962.349999999999,16437.18,218.97,8,6848.83,-27.5,4.41
PULPETPLA,142142.97,0.0,0.0,0.0,8,0.0,0.0,0.0
HUDCHR,141545.95,0.0,0.0,0.0,8,0.0,0.0,0.0
NICMIC,141517.34,0.0,0.0,0.0,7,0.0,0.0,0.0
PANANE,141486.4,2518.93,16195.34,0.0,8,6748.06,-62.7,0.0
ANDBRE,141174.28,449.0,7450.96,0.0,9,3104.57,-85.5,0.0
PETJAS,141044.2,0.0,0.0,0.0,7,0.0,0.0,0.0
MYCRON,140724.99,0.0,0.0,0.0,8,0.0,0.0,0.0
SMIDAV,140484.55,0.0,0.0,0.0,6,0.0,0.0,0.0
GLOANT,140214.75,4746.24,11223.09,119.99,8,4676.29,1.5,2.53
BOYMIC,139820.66999999998,11658.66,36899.67,0.0,7,15374.86,-24.2,0.0
GORMIC,139568.88,0.0,484.0,0.0,7,201.67,-100.0,0.0
RYNJOS,138324.87,0.0,0.0,0.0,8,0.0,0.0,0.0
BOUMEL,138090.61,0.0,0.0,0.0,8,0.0,0.0,0.0
ROMJUL,135349.37,0.0,0.0,0.0,8,0.0,0.0,0.0
MILJAM,134814.36,0.0,2861.99,0.0,8,1192.5,-100.0,0.0
ONIJEF,134366.35,0.0,3615.69,0.0,7,1506.54,-100.0,0.0
CANMIC,133813.28,0.0,0.0,0.0,8,0.0,0.0,0.0
STUKRI,131924.15,0.0,4581.82,0.0,8,1909.09,-100.0,0.0
ORSSTE,131786.74,0.0,0.0,0.0,8,0.0,0.0,0.0
YALMAR,131544.2,0.0,0.0,0.0,8,0.0,0.0,0.0
LEBRAFB,131366.72,9077.79,37760.729999999996,133.5,9,15733.64,-42.3,1.47
VERVIN,128688.17,3528.6499999999996,7668.1,149.99,8,3195.04,10.4,4.25
MAZSUS,127881.65,0.0,0.0,0.0,7,0.0,0.0,0.0
MACHAZ,127612.18000000001,9558.42,22752.97,591.0,6,9480.4,0.8,6.18
FLESCO,127077.0,0.0,0.0,0.0,9,0.0,0.0,0.0
HOFSTENW,126880.12999999999,0.0,0.0,0.0,7,0.0,0.0,0.0
ZOLMAR,126097.89,7580.95,4302.64,0.0,6,1792.77,322.9,0.0
FLYDONAO4,124033.53,0.0,0.0,0.0,5,0.0,0.0,0.0
PPSTOMAR,123296.51999999999,0.0,0.0,0.0,7,0.0,0.0,0.0
KORMIK,123291.18000000001,25143.23,49501.06,1413.98,9,20625.44,21.9,5.62
CERGAI,122509.31,846.6500000000001,9386.56,0.0,8,3911.07,-78.4,0.0
DOUBRI,120722.43,19023.9,50453.61,158.0,6,21022.34,-9.5,0.83
HANMIR,120403.67,12271.97,35838.2,0.0,7,14932.58,-17.8,0.0
CZEBOH,120239.92,0.0,0.0,0.0,8,0.0,0.0,0.0
COFJER,120107.9,0.0,15155.75,0.0,8,6314.9,-100.0,0.0
FIJPHI,119791.70999999999,10598.86,3861.94,0.0,7,1609.14,558.7,0.0
PETLEO,119465.55,0.0,0.0,0.0,8,0.0,0.0,0.0
SHECAR,118991.58,1687.65,0.0,0.0,8,0.0,0.0,0.0
KMADANMUN,118354.87,0.0,933.98,0.0,8,389.16,-100.0,0.0
MORPAU,117874.87,3966.19,17039.07,163.98,9,7099.61,-44.1,4.13
LENMIC,117507.97,1947.72,9823.5,0.0,8,4093.12,-52.4,0.0
GENJEF,116163.14,0.0,0.0,0.0,7,0.0,0.0,0.0
BELTHO,115878.36,0.0,0.0,0.0,8,0.0,0.0,0.0
NUCMAG,115379.07,12444.07,22565.37,260.0,7,9402.24,32.4,2.09
BAICHA,115240.3,4158.0,12405.0,0.0,7,5168.75,-19.6,0.0
HOMBRI,114700.52,0.0,0.0,0.0,9,0.0,0.0,0.0
DEAROB,112593.35,0.0,0.0,0.0,8,0.0,0.0,0.0
SINPAU,112576.62,9678.78,25708.66,167.0,9,10711.94,-9.6,1.73
MYRCATH,111829.96,0.0,3627.08,0.0,6,1511.28,-100.0,0.0
PERLUI,111479.16,26147.53,53560.64,3137.42,9,22316.93,17.2,12.0
HALJAS,111391.89,0.0,0.0,0.0,7,0.0,0.0,0.0
LEEJONBER,111319.97,0.0,0.0,0.0,7,0.0,0.0,0.0
VARDAV,111296.73,0.0,0.0,0.0,7,0.0,0.0,0.0
LEURIN,110545.8,6686.849999999999,10609.45,378.0,9,4420.6,51.3,5.65
POLALE,109839.38,0.0,0.0,0.0,7,0.0,0.0,0.0
PETCHR,109638.43,6643.44,23374.2,195.0,8,9739.25,-31.8,2.94
SACWIL,109441.07,0.0,0.0,0.0,7,0.0,0.0,0.0
MOLRYASH,108786.63,0.0,0.0,0.0,7,0.0,0.0,0.0
VILGILPH,108679.45999999999,0.0,0.0,0.0,8,0.0,0.0,0.0
COLBER,108350.91,747.5,17360.39,747.5,8,7233.5,-89.7,100.0
JACDAV,107974.66,0.0,0.0,0.0,6,0.0,0.0,0.0
MAZANN,106910.43,0.0,0.0,0.0,7,0.0,0.0,0.0
STOMARC,106393.6,9887.359999999999,25887.269999999997,344.99,8,10786.36,-8.3,3.49
HYVIRE,106246.37,7091.86,20290.61,0.0,9,8454.42,-16.1,0.0
ZEFDAV,105704.42,0.0,0.0,0.0,8,0.0,0.0,0.0
JANJAM,104887.54,0.0,0.0,0.0,8,0.0,0.0,0.0
PALCHR,104217.67,0.0,0.0,0.0,8,0.0,0.0,0.0
KOSJOH,103462.83,0.0,0.0,0.0,9,0.0,0.0,0.0
RIEMAR,103325.14,0.0,0.0,0.0,8,0.0,0.0,0.0
GATGUY,101895.45999999999,4688.45,12989.11,662.9200000000001,7,5412.13,-13.4,14.14
NEANEA,100702.07,0.0,0.0,0.0,8,0.0,0.0,0.0
GENCHR,100556.98,0.0,0.0,0.0,7,0.0,0.0,0.0
OGRLIS,100386.13,5268.96,11050.9,0.0,9,4604.54,14.4,0.0
MARALI,99928.9,0.0,1200.88,0.0,7,500.37,-100.0,0.0
RYASEA,99762.75,8728.24,27878.32,529.47,7,11615.97,-24.9,6.07
LEMLOR,99707.3,0.0,0.0,0.0,8,0.0,0.0,0.0
FREKAT,99685.69,0.0,0.0,0.0,8,0.0,0.0,0.0
HANPATSK,98496.54,6018.58,8268.2,0.0,8,3445.08,74.7,0.0
EBERIC,98113.23,8340.98,8982.15,0.0,6,3742.56,122.9,0.0
LEEJAY,97958.01,0.0,0.0,0.0,7,0.0,0.0,0.0
BARDEN,97734.39,0.0,673.46,0.0,8,280.61,-100.0,0.0
SEMCAR,97545.08,0.0,0.0,0.0,8,0.0,0.0,0.0
MCCJOS,97476.78,4488.45,14765.539999999999,353.95,7,6152.31,-27.0,7.89
JANPET,97346.69,4617.48,11103.66,0.0,7,4626.53,-0.2,0.0
HANJOO,95590.52,0.0,0.0,0.0,8,0.0,0.0,0.0
DARDAVSB,95475.95,4053.65,1311.97,0.0,7,546.65,641.5,0.0
MARJAM,94721.27,0.0,0.0,0.0,8,0.0,0.0,0.0
YOUEHA,94367.34,0.0,0.0,0.0,7,0.0,0.0,0.0
ABDKIM,93416.6,0.0,0.0,0.0,8,0.0,0.0,0.0
BECDEN,93131.75,1407.3700000000001,1672.44,0.0,8,696.85,102.0,0.0
PARROG,92561.85,0.0,0.0,0.0,7,0.0,0.0,0.0
SCHMIC,91852.23,0.0,0.0,0.0,9,0.0,0.0,0.0
TEJDIM,91814.15,0.0,199.99,0.0,8,83.33,-100.0,0.0
CASLEN,91661.72,7427.8,25218.730000000003,0.0,8,10507.8,-29.3,0.0
WITMAT,91121.14,3949.81,18803.100000000002,199.99,8,7834.63,-49.6,5.06
ROCDAV,91102.5,0.0,0.0,0.0,8,0.0,0.0,0.0
BROCAR,90243.22,0.0,0.0,0.0,8,0.0,0.0,0.0
GOLIRA,90013.52,0.0,0.0,0.0,8,0.0,0.0,0.0
FONJEN,89870.23,0.0,15106.91,0.0,8,6294.55,-100.0,0.0
COLKRI,89377.66,0.0,3203.4800000000005,0.0,8,1334.78,-100.0,0.0
WELJOD,88161.45,0.0,0.0,0.0,8,0.0,0.0,0.0
DROSEA,87721.62,0.0,0.0,0.0,7,0.0,0.0,0.0
AMEDAV,87439.73,0.0,0.0,0.0,8,0.0,0.0,0.0
SUNJOO,87154.08,6943.37,9347.42,626.95,9,3894.76,78.3,9.03
JACERI,86668.98,0.0,0.0,0.0,8,0.0,0.0,0.0
ABUSIM,86298.6,16898.4,27913.89,1553.95,9,11630.79,45.3,9.2
SCHMICAO4,86193.86,1947.0,0.0,0.0,6,0.0,0.0,0.0
COUEMI,85989.16,0.0,0.0,0.0,8,0.0,0.0,0.0
ARONINROM,85753.01,2251.0,8065.84,0.0,7,3360.77,-33.0,0.0
SHADHARV,85437.27,0.0,0.0,0.0,7,0.0,0.0,0.0
CIAANN,85084.83,0.0,0.0,0.0,8,0.0,0.0,0.0
KHASABMP,85014.91,200.24,8901.91,0.0,7,3709.13,-94.6,0.0
MANTRE,84847.32,2557.8,12088.83,249.97,8,5037.01,-49.2,9.77
EARAND,84258.56999999999,0.0,0.0,0.0,7,0.0,0.0,0.0
CANMICD1,83938.23,0.0,0.0,0.0,7,0.0,0.0,0.0
ARNIVAMP,83312.06,1058.82,1810.81,0.0,8,754.5,40.3,0.0
PERMAR,83193.71,0.0,0.0,0.0,6,0.0,0.0,0.0
POSBRI,82771.75,1323.91,7636.52,0.0,7,3181.88,-58.4,0.0
GERGRE,82743.06,7445.12,12061.17,0.0,4,5025.49,48.1,0.0
BRACHA,82628.76,0.0,0.0,0.0,6,0.0,0.0,0.0
CHAGRE,82094.31999999999,0.0,0.0,0.0,5,0.0,0.0,0.0
ZBOANN,81852.85,6648.85,11990.31,0.0,6,4995.96,33.1,0.0
BAHMAN,81585.6,248.23000000000002,0.0,0.0,8,0.0,0.0,0.0
KOSDEN,81101.7,0.0,0.0,0.0,8,0.0,0.0,0.0
KORKEN,81042.09,0.0,0.0,0.0,9,0.0,0.0,0.0
DANBRI,80705.89,1901.99,1150.84,0.0,8,479.52,296.6,0.0
TRIRUS,80583.46,0.0,0.0,0.0,7,0.0,0.0,0.0
RAHADE,80056.82,0.0,0.0,0.0,6,0.0,0.0,0.0
PLAROB,79110.45999999999,3438.6400000000003,2307.31,0.0,8,961.38,257.7,0.0
BORMAR,78705.46,0.0,0.0,0.0,8,0.0,0.0,0.0
BLABRE,77990.5,0.0,0.0,0.0,8,0.0,0.0,0.0
PARRIC,77852.55,0.0,0.0,0.0,7,0.0,0.0,0.0
MORCHR,76445.83,5548.14,14417.69,116.97999999999999,8,6007.37,-7.6,2.11
OZIERI,76134.77,0.0,0.0,0.0,7,0.0,0.0,0.0
LIPJAM,76033.54,0.0,0.0,0.0,8,0.0,0.0,0.0
SUDAMINAP,75897.48,2544.94,6961.92,0.0,7,2900.8,-12.3,0.0
RANMAR,75121.09,3029.7400000000002,7793.92,239.98,8,3247.47,-6.7,7.92
CASGRA,74929.11,0.0,0.0,0.0,8,0.0,0.0,0.0
FORDANELM,74338.36,0.0,0.0,0.0,8,0.0,0.0,0.0
LEBRAF,74274.16,5456.97,25413.56,0.0,8,10588.98,-48.5,0.0
LOUSERNV,73723.31999999999,0.0,13476.74,0.0,7,5615.31,-100.0,0.0
KICPET,73704.51,0.0,0.0,0.0,8,0.0,0.0,0.0
LAVANT,73572.27,0.0,0.0,0.0,9,0.0,0.0,0.0
HANEDM,73289.39,0.0,0.0,0.0,7,0.0,0.0,0.0
KOSERI,73046.01999999999,2832.85,3390.84,159.99,3,1412.85,100.5,5.65
SLAMICHOM,72548.58,1215.89,4689.99,0.0,8,1954.16,-37.8,0.0
HONDAV,72513.21,0.0,0.0,0.0,9,0.0,0.0,0.0
WINADMHIN,72479.62,0.0,0.0,0.0,8,0.0,0.0,0.0
GANPOO,72147.89,6457.65,15962.630000000001,0.0,7,6651.1,-2.9,0.0
BACOLG,71450.28,893.98,0.0,0.0,7,0.0,0.0,0.0
PATPAROL,71117.08,0.0,0.0,0.0,7,0.0,0.0,0.0
DEAALA,71101.96,0.0,0.0,0.0,7,0.0,0.0,0.0
SCHKIM,69592.92,0.0,0.0,0.0,5,0.0,0.0,0.0
LINGAR,69389.95999999999,0.0,0.0,0.0,8,0.0,0.0,0.0
KNEMIC,69368.39,0.0,1525.96,0.0,6,635.82,-100.0,0.0
MATJOSLOW,69358.16,572.0,1085.98,0.0,8,452.49,26.4,0.0
SCHADA,68333.24,0.0,0.0,0.0,8,0.0,0.0,0.0
BECJAM,68279.86,404.23,448.96000000000004,0.0,7,187.07,116.1,0.0
BORKAT,67838.45,0.0,0.0,0.0,5,0.0,0.0,0.0
SWAMAR,67605.57,0.0,0.0,0.0,8,0.0,0.0,0.0
TAMSET,67269.97,0.0,0.0,0.0,8,0.0,0.0,0.0
BELMAT,67148.29,0.0,0.0,0.0,9,0.0,0.0,0.0
