account_id,ytd_implant_sales,ly_implant_sales,ytd_implant_remakes
MONMAR,0.0,0.0,0.0
MOOJOHHOM,0.0,0.0,0.0
MORCHR,0.0,350.0,0.0
MORDENPLA,0.0,0.0,0.0
MORMIC,0.0,0.0,0.0
MORPAU,0.0,0.0,0.0
MORSTECH,0.0,0.0,0.0
MOSKEV,0.0,0.0,0.0
MOSTIM,0.0,0.0,0.0
PRIBRU,0.0,0.0,0.0
ABDKIM,0.0,0.0,0.0
PRILORBL,0.0,194.0,0.0
VELSAN,0.0,0.0,0.0
TUNPER,0.0,0.0,0.0
UHRJOS,0.0,0.0,0.0
UNTMIC,0.0,0.0,0.0
UPPSHA,0.0,0.0,0.0
URBEDW,0.0,0.0,0.0
URDMON,0.0,0.0,0.0
VANMAT,0.0,0.0,0.0
VANSAG,0.0,0.0,0.0
VARDAV,0.0,0.0,0.0
VAUKRI,0.0,58.0,0.0
VAVROB,0.0,0.0,0.0
VICHEN,0.0,0.0,0.0
STETODRF,0.0,0.0,0.0
VILCOU,0.0,0.0,0.0
VILGILCH,0.0,688.0,0.0
VILGILPH,0.0,0.0,0.0
VITFRA,0.0,0.0,0.0
VOGAAR,0.0,0.0,0.0
VYAHARMO,0.0,304.0,0.0
WADAMY,0.0,65.0,0.0
WADTAMFRAN,0.0,0.0,0.0
WADTAMSH,0.0,0.0,0.0
WAHMOH,0.0,0.0,0.0
WALBRIOP,0.0,0.0,0.0
TUCELILV,0.0,787.0,0.0
TROCHR,0.0,0.0,0.0
TREROBWES,0.0,0.0,0.0
TORSUS,0.0,0.0,0.0
STRDAVJOL,0.0,0.0,0.0
STRRIC,0.0,0.0,0.0
SUDAMINAP,0.0,0.0,0.0
SUKMAJ,0.0,0.0,0.0
SULTHO,0.0,194.0,0.0
SURTIM,0.0,0.0,0.0
SUTBOZLV,0.0,0.0,0.0
SWAKAR,0.0,0.0,0.0
SYLCOLBL,0.0,0.0,0.0
SZASCO,0.0,0.0,0.0
TADSIM,0.0,0.0,0.0
TAPGAR,0.0,3800.0,0.0
TARJOA,0.0,0.0,0.0
TAUMIC,0.0,0.0,0.0
TEJDIM,0.0,0.0,0.0
THADEVJOL,0.0,0.0,0.0
THADEVOP,0.0,0.0,0.0
THASAM,0.0,0.0,0.0
THOJAS,0.0,0.0,0.0
THONAS,0.0,0.0,0.0
THUHAD,0.0,0.0,0.0
TIETER,0.0,0.0,0.0
TOMCAR,0.0,0.0,0.0
