dashboard,product_id,description,new_units,remake_units,total_units,remake_rate_pct,period
Fixed,DIGLAYCRN,DIGITAL LAYERED ZIRC,352,29,381,7.6,1/1/2026 – 9/18/2026
Removable,ORTVFRET,VF RETAINER,199,16,215,7.4,1/1/2026 – 9/18/2026
Removable,DENFLIP5OVER,FLIPPER 5> TEETH,13,1,14,7.1,1/1/2026 – 9/18/2026
Fixed,CRNBRUX,BRUXZIR,5185,398,5583,7.1,1/1/2026 – 9/18/2026
Fixed,ZRABUT,ZIRCONIA ABUTMENT,13,1,14,7.1,1/1/2026 – 9/18/2026
Removable,ORTSMILEAA,SMILE SHAPERS ADDITIONAL ALIGNER,134,10,144,6.9,1/1/2026 – 9/18/2026
Removable,CRATHERM,THERMOPLASTIC CRA,72,5,77,6.5,1/1/2026 – 9/18/2026
Fixed,DIGEZZCRN,DIGITAL ARTISTIC EZ,1703,115,1818,6.3,1/1/2026 – 9/18/2026
Removable,TIABUT,TITAINIUM ABUTMENT,92,6,98,6.1,1/1/2026 – 9/18/2026
Fixed,MODC1,PRINTED STUDY MODEL 1 ARCH,66,4,70,5.7,1/1/2026 – 9/18/2026
Removable,DENPRCOV,PROC OVERDENTURE,17,1,18,5.6,1/1/2026 – 9/18/2026
Removable,NOBSR,NOBEL GENUINE TI-BASE FOR SCREW RETAINED CROWN,68,4,72,5.6,1/1/2026 – 9/18/2026
Removable,SCREWRETCRN,SCREW RETAINED CROWN TI-BASE,552,32,584,5.5,1/1/2026 – 9/18/2026
Removable,DENFULL,FULL DENTURE PREMIUM,18,1,19,5.3,1/1/2026 – 9/18/2026
Removable,DENREPCOM,COMPLEX REPAIR,238,13,251,5.2,1/1/2026 – 9/18/2026
Removable,NOBTIABUT,NOBEL GENUINE TI ABUTMENT,19,1,20,5.0,1/1/2026 – 9/18/2026
Removable,ORTHAWLEY,HAWLEY RETAINER,19,1,20,5.0,1/1/2026 – 9/18/2026
Removable,CRA,CRA,405,21,426,4.9,1/1/2026 – 9/18/2026
Fixed,DIGBRUXCRN,DIGITAL BRUXZIR,6404,330,6734,4.9,1/1/2026 – 9/18/2026
Fixed,DIGEMAXMCRN,DIGITAL EMAX MONO,125,6,131,4.6,1/1/2026 – 9/18/2026
Removable,DENAO4ZIRC,ALL ON 4 ZIRC DENTURE FINISH W/ H/S COMFORT GUARD,86,4,90,4.4,1/1/2026 – 9/18/2026
Removable,DENBB,ACRYLIC BASE&BITE RIM,360,16,376,4.3,1/1/2026 – 9/18/2026
Removable,PARTIAL,PARTIAL FRAMEWORK,138,6,144,4.2,1/1/2026 – 9/18/2026
Removable,DENFULPFIN,FULL DENTURE FINISH PREMIUM TEETH,158,7,165,4.2,1/1/2026 – 9/18/2026
Removable,CRAHSC,COMFORT H/S BITE SPLINT,509,22,531,4.1,1/1/2026 – 9/18/2026
Fixed,DIGPFMCRN,DIGITAL PFM,147,5,152,3.3,1/1/2026 – 9/18/2026
